VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

NULLVALUE -666
NULLSTRING *

   28   301.367    25.421  0.232  0.024    8.531  121.306  5113.571  7368.865   5.967   2.292   17.510   47.275  297  305   25   26 +1.364891e+06 +1.101155e+04 +1.505672e+07 0.00000 1 None   24    2
   29   419.460    24.707  0.135  0.008    7.953  121.549  4767.040  7383.588   6.123   2.244   17.966   46.279  415  423   23   26 +3.009506e+06 +1.076232e+04 +5.333960e+07 0.00000 1 None   20    2
   30   351.599    25.594  0.078  0.008    8.285  121.247  4966.170  7365.294   5.915   2.339   17.358   48.240  348  356   24   27 +4.152961e+06 +1.095147e+04 +5.805548e+07 0.00000 1 None   25    1
   31   308.763    27.347  0.111  0.015    8.495  120.652  5091.867  7329.155   5.652   2.306   16.586   47.564  305  313   26   28 +1.950881e+06 +1.073441e+04 +2.440927e+07 0.00000 1 None   24    2
   32   374.469    27.844  0.092  0.005    8.173  120.484  4899.062  7318.906   5.686   2.059   16.685   42.465  370  378   27   29 +3.291376e+06 +1.051052e+04 +3.652775e+07 0.00000 1 None   26    1
   33   428.980    28.084  0.058  0.005    7.906  120.402  4739.104  7313.946   6.225   2.030   18.267   41.867  425  433   27   29 +3.224746e+06 +1.027179e+04 +4.216134e+07 0.00000 1 None   27    2
   34   435.337    28.221  0.127  0.006    7.875  120.356  4720.452  7311.127   7.060   2.093   20.716   43.167  430  440   27   29 +2.986220e+06 +1.044986e+04 +4.971010e+07 0.00000 1 None   27    2
   35   785.948    28.057  0.114  0.007    6.159  120.411  3691.623  7314.507   6.878   2.011   20.181   41.468  781  791   27   29 +2.005286e+06 +1.021654e+04 +2.647866e+07 0.00000 1 None   28    1
   36   158.186    29.895  0.201  0.007    9.232  119.787  5533.719  7276.603   8.594   2.011   25.217   41.472  152  164   29   31 +2.092116e+06 +1.020794e+04 +3.191554e+07 0.00000 1 None   29    1
   37   403.455    29.837  0.083  0.005    8.031  119.807  4814.004  7277.796   5.745   2.055   16.857   42.382  399  407   29   31 +3.621464e+06 +1.050753e+04 +4.026708e+07 0.00000 1 None   30    1
