REMARK ROI 2D Peak Detection System, File: HN.N15.dat
REMARK Detection Levels: -516197 and 516197
REMARK Detection: X(+/-1) Y(+/-1)
REMARK Interpolation: X(+/-1) Y(+/-1)
REMARK Noise: 798.124, Chi2-Threshold: 1.000000e-04, Local Adjustment: None
REMARK Position Tolerances: X(2.0) Y(2.0)
REMARK Sinc Detect ON, Height Adjustments: X(1.200) Y(1.800)
REMARK Sinc Detect Linewidths: X(15.0Hz) Y(0.0Hz)
REMARK Total Peaks: 72, Good Peaks: 72, Questionable Peaks: 0
REMARK Clusters: 58, Max Cluster Size: 5
REMARK ROI Spectral Axis Limits:

DATA  X_AXIS HN           1   922    9.998ppm    5.490ppm
DATA  Y_AXIS N15          1    66  129.043ppm  106.974ppm

VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

  23   414.162    22.987  0.006  0.000    7.976  121.578  4780.850  7385.355   9.454   1.775   27.741   36.612  407  420   22   24  5.165573e+06  6.042673e+02  7.216565e+07 0.00000 1 None   20    2
  24   558.204    23.373  0.023  0.002    7.271  121.447  4358.175  7377.393   6.222   2.159   18.259   44.522  557  559   23   24  6.697121e+05  6.404847e+02  3.395532e+06 0.00000 1 None   21    1
  25   146.248    25.463  0.014  0.001    9.287  120.737  5567.012  7334.276   8.084   2.222   23.721   45.829  141  151   25   26  2.138944e+06  6.575432e+02  2.847991e+07 0.00000 1 None   22    1
  26   257.363    24.588  0.011  0.001    8.743  121.034  5240.959  7352.335   7.451   2.194   21.865   45.247  253  262   24   25  2.606517e+06  6.496371e+02  3.200811e+07 0.00000 1 None   23    1
  27   301.372    25.405  0.013  0.001    8.528  120.757  5111.818  7335.489   6.105   2.175   17.916   44.866  298  305   25   26  1.492331e+06  6.531799e+02  1.548662e+07 0.00000 1 None   24    2
  28   419.406    24.700  0.008  0.000    7.950  120.996  4765.461  7350.027   6.139   2.225   18.013   45.883  415  423   23   26  3.135586e+06  6.402407e+02  5.730448e+07 0.00000 1 None   20    2
  29   351.608    25.601  0.004  0.000    8.282  120.690  4964.407  7331.440   5.963   2.302   17.498   47.487  348  356   24   27  4.931127e+06  6.474211e+02  6.701230e+07 0.00000 1 None   25    1
  30   308.706    27.349  0.008  0.001    8.492  120.097  5090.299  7295.395   5.883   2.317   17.263   47.796  305  313   26   28  1.966457e+06  6.311142e+02  2.531442e+07 0.00000 1 None   24    2
  31   374.575    27.885  0.005  0.000    8.170  119.915  4897.015  7284.322   6.069   1.856   17.810   38.276  371  379   27   29  3.736487e+06  6.213808e+02  3.751453e+07 0.00000 1 None   26    1
  32   428.909    28.064  0.003  0.000    7.904  119.854  4737.576  7280.649   6.423   1.878   18.847   38.727  424  434   27   29  3.584742e+06  6.100543e+02  5.072492e+07 0.00000 1 None   27    2
