REMARK ROI 2D Peak Detection System, File: HN.N15.dat
REMARK Detection Levels: -93100.3 and 93100.3
REMARK Detection: X(+/-1) Y(+/-1)
REMARK Interpolation: X(+/-1) Y(+/-1)
REMARK Noise: 9148.43, Chi2-Threshold: 1.000000e-04, Local Adjustment: None
REMARK Position Tolerances: X(2.0) Y(2.0)
REMARK Sinc Detect ON, Height Adjustments: X(1.200) Y(1.800)
REMARK Sinc Detect Linewidths: X(15.0Hz) Y(0.0Hz)
REMARK Total Peaks: 90, Good Peaks: 90, Questionable Peaks: 0
REMARK Clusters: 59, Max Cluster Size: 11
REMARK ROI Spectral Axis Limits:

DATA  X_AXIS HN           1   922    9.998ppm    5.490ppm
DATA  Y_AXIS N15          1    66  129.043ppm  106.974ppm

VARS   INDEX X_AXIS Y_AXIS DX DY X_PPM Y_PPM X_HZ Y_HZ XW YW XW_HZ YW_HZ X1 X3 Y1 Y3 HEIGHT DHEIGHT VOL PCHI2 TYPE ASS CLUSTID MEMCNT
FORMAT %5d %9.3f %9.3f %6.3f %6.3f %8.3f %8.3f %9.3f %9.3f %7.3f %7.3f %8.3f %8.3f %4d %4d %4d %4d %+e %+e %+e %.5f %d %s %4d %4d

#  41   329.355    19.885  0.160  0.006    8.391  122.631  5029.644  7449.332   7.580   2.022   22.241   41.707  324  334   19   21  1.860522e+06  6.974179e+03  2.636862e+07 0.00000 1 None   14    5
  93   375.053    34.059  2.082  0.050    8.167  117.818  4895.550  7156.996   8.276   1.513   24.284   31.196  374  376   34   34  1.112825e+05  7.110899e+03  3.139216e+05 0.00000 1 None   32    1
  94   137.380    34.978  2.497  0.098    9.331  117.506  5592.974  7138.039   6.784   2.021   19.908   41.680  137  138   35   35  9.811262e+04  6.945105e+03  1.938610e+05 0.00000 1 None   33    1
  95   393.357    35.286  0.108  0.008    8.078  117.402  4841.838  7131.687   5.946   2.118   17.447   43.675  389  397   34   37  1.821425e+06  7.242896e+03  2.173566e+07 0.00000 1 None   34    1
  96   513.283    34.651  0.121  0.008    7.490  117.618  4489.929  7144.799   7.134   2.193   20.933   45.232  508  518   33   36  2.109420e+06  7.284612e+03  3.045804e+07 0.00000 1 None   27    2
  97   215.263    36.228  0.169  0.006    8.949  117.082  5364.434  7112.254   8.722   2.072   25.593   42.735  209  221   35   37  2.054008e+06  7.060336e+03  3.184248e+07 0.00000 1 None   35    1
 100   263.562    36.557  0.210  0.011    8.713  116.970  5222.707  7105.484   7.780   2.260   22.829   46.608  258  270   35   38  1.978971e+06  7.483595e+03  3.207044e+07 0.00000 1 None   36    1
 101   289.125    37.000 11.005  0.045    8.588  116.820  5147.695  7096.341  17.969   1.417   52.727   29.227  287  291   37   37  1.025441e+05  6.875826e+03  4.939645e+05 0.00000 1 None   37    1
 102   433.859    38.481  6.787  0.293    7.879  116.317  4722.990  7065.798   9.394   3.026   27.567   62.413  430  441   38   39  1.449787e+05  7.335993e+03  5.891299e+06 0.00000 1 None   38    2
 103   445.112    38.237  0.095  0.005    7.824  116.400  4689.969  7070.818   8.086   2.083   23.727   42.959  439  451   37   39  2.500904e+06  7.069651e+03  3.690876e+07 0.00000 1 None   38    2
 108   375.054    39.920  0.062  0.004    8.167  115.828  4895.547  7036.106   6.854   2.036   20.111   42.000  370  380   39   41  2.496342e+06  6.935474e+03  3.355705e+07 0.00000 1 None   39    1
 113   557.112    41.244  0.121  0.006    7.276  115.379  4361.319  7008.812   8.448   2.073   24.789   42.746  551  563   40   42  2.140152e+06  7.075736e+03  3.169135e+07 0.00000 1 None   40    1
 114   256.379    42.331  0.125  0.006    8.748  115.010  5243.784  6986.387   7.434   2.115   21.814   43.625  251  261   41   43  2.587380e+06  7.272959e+03  3.527034e+07 0.00000 1 None   41    2
 118   527.829    42.433  0.061  0.008    7.419  114.975  4447.245  6984.293   6.186   2.250   18.151   46.402  523  533   41   44  2.769056e+06  7.470926e+03  3.800580e+07 0.00000 1 None   42    1
 119   347.953    43.388  0.099  0.009    8.300  114.651  4975.071  6964.579   7.374   2.199   21.638   45.358  343  353   42   45  2.038464e+06  7.346987e+03  2.991431e+07 0.00000 1 None   43    1
 120   418.485    43.470  0.054  0.005    7.955  114.623  4768.104  6962.894   5.682   2.255   16.674   46.514  414  422   42   45  4.542467e+06  7.670360e+03  5.318152e+07 0.00000 1 None   44    1
 121   479.655    44.013  0.060  0.003    7.655  114.439  4588.606  6951.694   6.081   2.006   17.845   41.374  476  484   43   45  3.131176e+06  6.992570e+03  3.574900e+07 0.00000 1 None   45    1
 122   138.724    44.984  0.126  0.006    9.324  114.109  5589.029  6931.662   6.937   2.009   20.355   41.443  134  144   44   46  1.705016e+06  6.938899e+03  2.282013e+07 0.00000 1 None   46    1
 123   505.388    44.766  2.888  0.126    7.529  114.183  4513.098  6936.173   6.466   2.156   18.975   44.458  505  507   45   45  1.156600e+05  7.257855e+03  3.156586e+05 0.00000 1 None   47    1
 124   260.316    45.654  0.224  0.010    8.729  113.882  5232.233  6917.850   8.533   2.144   25.040   44.212  254  266   44   47  1.723073e+06  7.259011e+03  2.868813e+07 0.00000 1 None   41    2
 129   300.129    47.831  0.047  0.004    8.534  113.143  5115.406  6872.957   5.770   2.062   16.930   42.536  296  304   47   49  2.591004e+06  7.051097e+03  2.924104e+07 0.00000 1 None   48    1
 130   372.624    48.249  2.498  0.084    8.179  113.001  4902.678  6864.335   7.340   1.826   21.540   37.664  371  375   48   48  1.229742e+05  7.189817e+03  5.333824e+05 0.00000 1 None   49    1
 136   438.625    52.375  1.630  0.242    7.856  111.599  4709.005  6779.222   5.432   2.554   15.941   52.670  438  439   52   52  1.059101e+05  7.372290e+03  1.992010e+05 0.00000 1 None   50    1
 137   554.329    51.559  0.056  0.016    7.289  111.877  4369.485  6796.052   4.301   2.601   12.621   53.638  551  557   50   54  1.815438e+06  7.446937e+03  2.021295e+07 0.00000 1 None   51    1
 138   649.383    51.526  0.076  0.014    6.824  111.888  4090.559  6796.748   5.489   2.741   16.106   56.537  645  653   50   54  2.410540e+06  7.407082e+03  4.337940e+07 0.00000 1 None   52    6
 139   458.964    52.692  0.027  0.008    7.756  111.492  4649.324  6772.696   4.455   2.458   13.074   50.701  456  462   51   55  2.591425e+06  7.188292e+03  2.867938e+07 0.00000 1 None   53    3
 140   667.075    52.728  0.055  0.012    6.738  111.480  4038.645  6771.955   5.902   2.888   17.318   59.562  663  671   51   55  2.200485e+06  7.058547e+03  4.445041e+07 0.00000 1 None   52    6
 141   470.239    54.949  0.042  0.006    7.701  110.726  4616.236  6726.144   4.713   2.294   13.829   47.316  467  473   53   57  2.216283e+06  7.006516e+03  2.485168e+07 0.00000 1 None   53    3
 142   502.175    54.800  0.072  0.013    7.545  110.776  4522.524  6729.208   4.696   2.355   13.780   48.566  499  505   53   57  1.199056e+06  7.074817e+03  1.341594e+07 0.00000 1 None   54    1
 143   652.164    54.757  0.063  0.008    6.811  110.791  4082.399  6730.113   5.855   2.300   17.180   47.429  648  656   53   57  2.117115e+06  7.087763e+03  3.738157e+07 0.00000 1 None   52    6
 144   663.222    54.852  0.089  0.007    6.756  110.758  4049.952  6728.136   6.634   2.402   19.468   49.545  658  668   53   57  2.054098e+06  6.987491e+03  4.554038e+07 0.00000 1 None   52    6
 146   404.137    58.269  1.680  0.109    8.025  109.598  4810.205  6657.658   6.716   1.888   19.708   38.950  403  405   58   58  1.049168e+05  7.248216e+03  2.877166e+05 0.00000 1 None   55    1
 147   478.065    58.330  0.033  0.009    7.663  109.578  4593.272  6656.413   4.472   2.353   13.121   48.527  475  481   57   60  2.215075e+06  7.255322e+03  2.391404e+07 0.00000 1 None   53    3
 148   650.238    58.260  0.058  0.008    6.820  109.602  4088.052  6657.858   5.630   2.389   16.521   49.273  646  654   56   60  2.376992e+06  7.101017e+03  3.753647e+07 0.00000 1 None   52    6
 149   441.261    59.117  0.063  0.009    7.843  109.311  4701.271  6640.179   4.673   2.311   13.713   47.671  438  444   58   61  1.529294e+06  7.055570e+03  1.833661e+07 0.00000 1 None   56    2
 150   634.798    59.043  0.071  0.006    6.896  109.336  4133.359  6641.697   5.729   2.220   16.811   45.780  631  639   58   61  1.816720e+06  6.949537e+03  2.398114e+07 0.00000 1 None   52    6
 151   216.737    61.475  0.174  0.014    8.942  108.510  5360.109  6591.540   7.455   2.303   21.875   47.500  211  223   60   63  1.673843e+06  7.533368e+03  2.734457e+07 0.00000 1 None   57    1
 152   304.195    61.780  0.096  0.007    8.514  108.406  5103.473  6585.248   6.715   2.100   19.704   43.319  299  309   61   63  1.921878e+06  7.080542e+03  2.606714e+07 0.00000 1 None   58    1
 153   432.660    61.622  0.098  0.008    7.885  108.460  4726.508  6588.512   6.503   2.201   19.083   45.400  428  438   60   63  2.422918e+06  7.372738e+03  3.437501e+07 0.00000 1 None   56    2
 154   559.744    63.809  0.065  0.004    7.263  107.717  4353.595  6543.399   6.538   2.067   19.186   42.631  555  565   63   65  2.944709e+06  7.059575e+03  3.794910e+07 0.00000 1 None   59    1
